release_year,num_movies
1942,2
1943,3
1944,3
1945,3
1946,1
1947,1
1954,2
1955,3
1956,2
1958,3
1959,1
1960,4
1961,1
1962,3
1963,1
1964,2
1965,2
1966,1
1967,4
1968,3
1969,2
1970,2
1971,5
1972,4
1973,10
1974,6
1975,7
1976,9
1977,6
1978,7
1979,10
1980,11
1981,12
1982,17
1983,11
1984,12
1985,9
1986,11
1987,8
1988,16
1989,15
1990,19
1991,16
1992,20
1993,24
1994,20
1995,23
1996,21
1997,34
1998,32
1999,32
2000,33
2001,40
2002,44
2003,51
2004,55
2005,67
2006,82
2007,74
2008,113
2009,118
2010,154
2011,145
2012,173
2013,225
2014,264
2015,398
2016,658
2017,767
2018,767
2019,633
2020,517
2021,277
