genre,genre_tag_sum
Action & Adventure,34
Anime Features,1
Anime Series,8
British TV Shows,6
Children & Family Movies,18
Classic & Cult TV,1
Classic Movies,1
Comedies,33
Crime TV Shows,30
Cult Movies,1
Documentaries,5
Docuseries,5
Dramas,39
Horror Movies,12
Independent Movies,5
International Movies,49
International TV Shows,54
Kids' TV,8
Korean TV Shows,1
LGBTQ Movies,2
Music & Musicals,1
Reality TV,9
Romantic Movies,17
Romantic TV Shows,20
Sci-Fi & Fantasy,2
Spanish-Language TV Shows,18
Sports Movies,2
TV Action & Adventure,8
TV Comedies,13
TV Dramas,54
TV Horror,2
TV Mysteries,13
TV Sci-Fi & Fantasy,7
TV Shows,1
TV Thrillers,2
Teen TV Shows,8
Thrillers,18
